,Skills,Analyst,Data Analitics,Data Engineer,Data Modeler,Data Scientist,Data Scientist Project Manager,Director,Machine Learning Engineer,Other Scientist,All
1,Python,31.31,62.5,65.25,40.0,77.27,25.0,0.0,81.82,9.65,55.54
2,spark,6.06,0.0,56.78,20.0,27.27,0.0,0.0,18.18,0.0,23.31
3,aws,10.1,0.0,50.0,40.0,24.35,12.5,20.0,27.27,8.77,23.74
4,excel,75.76,50.0,45.76,80.0,48.7,68.75,40.0,31.82,50.0,52.37
5,sql,75.76,50.0,73.73,80.0,57.14,68.75,0.0,59.09,2.63,53.67
6,sas,11.11,25.0,0.85,0.0,16.23,0.0,0.0,0.0,1.75,9.5
7,keras,0.0,0.0,0.0,0.0,9.42,0.0,0.0,0.0,0.0,4.17
8,pytorch,0.0,0.0,0.0,0.0,10.71,0.0,0.0,22.73,0.88,5.61
9,scikit,0.0,0.0,0.0,0.0,15.26,0.0,0.0,31.82,0.0,7.77
10,tensor,0.0,0.0,1.69,0.0,19.48,0.0,0.0,40.91,0.88,10.36
11,hadoop,3.03,0.0,42.37,20.0,19.48,0.0,0.0,18.18,0.0,16.98
12,tableau,38.38,50.0,9.32,0.0,24.03,75.0,0.0,0.0,0.0,20.0
13,bi,17.17,25.0,2.54,40.0,9.09,12.5,0.0,0.0,0.0,7.77
14,flink,0.0,0.0,5.08,0.0,1.3,0.0,0.0,0.0,0.0,1.44
15,mongo,3.03,0.0,11.02,0.0,6.17,0.0,0.0,0.0,0.0,5.04
16,google_an,11.11,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2.01
